NLC,NAME,EASTING,NORTHING,LINES,NETWORK,London Underground,Elizabeth Line,London Overground,DLR,Zone,x,y,Night Tube?
526,Boston Manor,516334,178693,Piccadilly,London Underground,Yes,,,,4,-0.32401176,51.494711,Yes
527,Bounds Green,529984,191469,Piccadilly,London Underground,Yes,,,,"3,4",-0.122731021,51.60656487,Yes
528,Bow Road,537090,182736,"District, Hammersmith & City",London Underground,Yes,,,,2,-0.02358427,51.52639287,No
529,Brent Cross,523874,187934,Northern,London Underground,Yes,,,,3,-0.212185251,51.57616797,Yes
530,Bromley-by-Bow,538050,182524,"District, Hammersmith & City",London Underground,Yes,,,,"2,3",-0.009841042,51.52424987,No
531,Buckhurst Hill,541778,193891,Central,London Underground,Yes,,,,5,0.048455336,51.62548342,Yes
532,Burnt Oak,520326,190760,Northern,London Underground,Yes,,,,4,-0.262398845,51.60233699,Yes
533,London City Airport,542250,180292,DLR,,,,,Yes,3,0.04977043,51.50315378,No
534,Caledonian Road,530558,184970,Piccadilly,London Underground,Yes,,,,2,-0.116864262,51.54801774,Yes
535,Camden Town,528910,183894,Northern,London Underground,Yes,,,,2,-0.141016888,51.53872412,Yes
536,Cannon Street LU,532611,180900,"Circle, District",London Underground,Yes,,,,1,-0.088801035,51.51096254,No
537,Canons Park,518187,191252,Jubilee,London Underground,Yes,,,,5,-0.293102561,51.60721294,Yes
538,Pontoon Dock,541219,180109,DLR,,,,,Yes,3,0.03485088,51.50176796,No
539,Chalfont & Latimer,499634,197564,Metropolitan,London Underground,Yes,,,,8,-0.559159868,51.66754646,No
540,Chalk Farm,528202,184391,Northern,London Underground,Yes,,,,2,-0.151037017,51.54335257,Yes
541,Chancery Lane,531124,181615,Central,London Underground,Yes,,,,1,-0.109960547,51.5177395,Yes
542,Embankment,530419,180396,"Bakerloo, Circle, District, Northern",London Underground,Yes,,,,1,-0.120562428,51.50694137,Yes
543,Chesham,496079,201633,Metropolitan,London Underground,Yes,,,,9,-0.609421076,51.70474175,No
544,Chigwell,543795,193021,Central,London Underground,Yes,,,,4,0.077229167,51.61715195,No
545,Chiswick Park,520293,178724,District,London Underground,Yes,,,,3,-0.266981606,51.49415785,No
546,Chorleywood,502581,196095,Metropolitan,London Underground,Yes,,,,7,-0.516985176,51.65380677,No
547,Clapham Common,529505,175338,Northern,London Underground,Yes,,,,2,-0.135588991,51.46169503,Yes
548,Clapham North,530039,175743,Northern,London Underground,Yes,,,,2,-0.127754372,51.4652144,Yes
549,Clapham South,528834,174323,Northern,London Underground,Yes,,,,"2,3",-0.145610374,51.45272059,Yes
550,Cockfosters,528141,196370,Piccadilly,London Underground,Yes,,,,5,-0.147553187,51.65103526,Yes
551,Colindale,521319,189962,Northern,London Underground,Yes,,,,4,-0.248341905,51.59494713,Yes
552,Colliers Wood,526788,170368,Northern,London Underground,Yes,,,,3,-0.176460893,51.41763979,Yes
553,Covent Garden,530251,181025,Piccadilly,London Underground,Yes,,,,1,-0.122759938,51.51263471,Yes
554,Croxley,507909,195403,Metropolitan,London Underground,Yes,,,,7,-0.44019171,51.64658792,No
555,Dagenham East,550294,185030,District,London Underground,Yes,,,,5,0.167617456,51.54364955,No
556,Dagenham Heathway,549023,184710,District,London Underground,Yes,,,,5,0.149158377,51.54110645,No
557,Debden,544273,196122,Central,London Underground,Yes,,,,6,0.085403181,51.64489405,No
558,Dollis Hill,522190,185144,Jubilee,London Underground,Yes,,,,3,-0.237445148,51.55145847,Yes
559,West Silvertown,540460,180156,DLR,,,,,Yes,3,0.023940282,51.50237959,No
560,Ealing Broadway,517989,180933,"Central, District, TfL Rail",London Underground,Yes,Yes,,,3,-0.299418497,51.51449777,Yes
561,Ealing Common,518896,180346,"District, Piccadilly",London Underground,Yes,,,,3,-0.286555479,51.50903565,No
562,Earl's Court,525534,178552,"District, Piccadilly",London Underground,Yes,,,,"1,2",-0.19157701,51.4914734,Yes
563,East Acton,521721,181198,Central,London Underground,Yes,,,,2,-0.245569272,51.51609001,Yes
564,Eastcote,511153,187622,"Metropolitan, Piccadilly",London Underground,Yes,,,,5,-0.39578946,51.57601384,No
565,East Finchley,527222,189184,Northern,London Underground,Yes,,,,3,-0.163438627,51.58665344,Yes
566,East Ham,542463,184275,"District, Hammersmith & City",London Underground,Yes,,,,"3,4",0.054454908,51.5388975,No
